City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bathsheba,13.2167,-59.5167,301.49,54,20,10.29,BB,1676839059
84,alice springs,-23.7,133.8833,294.9,68,0,2.06,AU,1676839060
85,camopi,3.1655,-52.3158,296.71,97,95,1.52,GF,1676839061
86,mataura,-46.1927,168.8643,288.42,77,39,1.25,NZ,1676839061
87,barrow,71.2906,-156.7887,251.16,77,100,0.0,US,1676839062
88,bekhtery,46.251,32.2927,280.09,88,100,6.58,UA,1676839062
89,bengkulu,-3.8004,102.2655,296.74,91,71,1.71,ID,1676839063
90,jieshi,22.8134,115.8257,289.34,78,61,4.52,CN,1676839063
91,vaini,-21.2,-175.2,301.24,89,40,2.06,TO,1676839064
92,izumo,35.3667,132.7667,281.12,68,75,6.49,JP,1676839065
93,port lincoln,-34.7333,135.8667,293.21,82,0,5.62,AU,1676838976
94,ermelo,-26.5333,29.9833,288.56,95,100,1.34,ZA,1676839066
95,butaritari,3.0707,172.7902,300.04,79,91,4.33,KI,1676839067
96,tasiilaq,65.6145,-37.6368,262.03,87,100,1.28,GL,1676839067
97,kaspiyskiy,45.3929,47.3707,275.07,99,100,4.29,RU,1676839068
98,torbay,47.6666,-52.7314,269.97,87,75,5.66,CA,1676838969
99,vardo,70.3705,31.1107,268.14,93,75,8.75,NO,1676839069
100,brae,60.3964,-1.353,282.65,90,100,16.78,GB,1676839069
101,padang,-0.9492,100.3543,297.78,84,100,1.55,ID,1676839070
102,katsuura,35.1333,140.3,284.24,54,100,3.87,JP,1676839070
103,atuona,-9.8,-139.0333,299.13,77,71,6.27,PF,1676839071
104,khimki,55.9017,37.4375,266.47,86,75,5.0,RU,1676839071
105,lichtenburg,-26.152,26.1597,291.37,80,100,3.7,ZA,1676839072
106,puerto ayora,-0.7393,-90.3518,305.13,70,26,5.7,EC,1676839072
107,kalmunai,7.4167,81.8167,297.64,88,78,2.29,LK,1676839073
108,severo-kurilsk,50.6789,156.125,264.28,83,87,7.09,RU,1676839073
109,luderitz,-26.6481,15.1594,290.37,87,1,1.8,NA,1676839074
110,sibolga,1.7427,98.7792,297.22,91,100,1.28,ID,1676839074
111,manta,-0.95,-80.7333,300.03,89,75,2.06,EC,1676838789
112,mezen,65.8522,44.24,256.66,98,43,2.56,RU,1676839075
113,cacu,-18.5567,-51.1308,298.19,86,88,2.63,BR,1676839076
114,tura,25.5198,90.2201,291.26,49,2,1.15,IN,1676839076
115,suleja,9.1758,7.1808,301.7,14,1,3.15,NG,1676838806
116,batagay,67.6333,134.6333,230.11,100,50,1.41,RU,1676839077
117,vao,-22.6667,167.4833,297.98,64,0,8.77,NC,1676839077
118,sept-iles,50.2001,-66.3821,266.51,51,75,3.6,CA,1676838938
119,inta,66.0317,60.1659,252.99,99,87,2.38,RU,1676839078
120,mandalgovi,45.7625,106.2708,263.03,59,4,1.47,MN,1676839078
121,chuy,-33.6971,-53.4616,293.72,43,100,5.7,UY,1676839079
122,umm kaddadah,13.6017,26.6876,291.95,16,24,6.42,SD,1676839080
123,pevek,69.7008,170.3133,242.29,93,100,0.49,RU,1676839080
124,faanui,-16.4833,-151.75,300.49,73,1,3.12,PF,1676839081
125,talnakh,69.4865,88.3972,256.6,96,98,3.05,RU,1676838797
126,nanortalik,60.1432,-45.2371,265.06,83,92,2.9,GL,1676839081
127,sechura,-5.5569,-80.8222,302.85,58,51,7.87,PE,1676839082
128,bandarbeyla,9.4942,50.8122,297.07,79,24,8.48,SO,1676839082
129,jutai,-5.1833,-68.9,295.93,98,100,1.0,BR,1676839083
130,bluff,-46.6,168.3333,288.6,80,29,2.65,NZ,1676839084
131,taiobeiras,-15.8078,-42.2331,296.57,68,98,2.2,BR,1676839085
132,lastoursville,-0.8143,12.7287,298.78,63,99,1.29,GA,1676839085
133,tateyama,34.9833,139.8667,282.09,58,92,4.33,JP,1676839086
134,tuktoyaktuk,69.4541,-133.0374,239.15,68,75,2.57,CA,1676839087
135,kodiak,57.79,-152.4072,274.88,64,0,6.17,US,1676839087
136,pisco,-13.7,-76.2167,300.18,69,0,12.35,PE,1676839088
137,samarai,-10.6167,150.6667,301.0,74,96,2.22,PG,1676839089
138,myaundzha,63.0494,147.1858,233.4,99,91,1.55,RU,1676839089
